Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
253,Game_253,PS3,2008,Sports,Namco Bandai Games,2.12,0.63,0.18,2.37,5.3
254,Game_254,3DS,2001,Platform,Konami Digital Entertainment,0.37,0.17,0.09,0.1,0.72
255,Game_255,GBA,1993,Action,THQ,0.14,0.19,0.12,0.18,0.63
256,Game_256,PSP,2011,Action,Electronic Arts,0.1,0.05,0.01,0.06,0.23
257,Game_257,GBA,2010,Fighting,Capcom,0.09,0.05,0.01,0.11,0.25
258,Game_258,PSP,1985,Platform,Electronic Arts,1.59,0.82,0.09,0.28,2.78
259,Game_259,3DS,2014,Shooter,Konami Digital Entertainment,0.5,0.2,0.12,0.13,0.95
260,Game_260,Wii,1993,Misc,THQ,1.2,0.63,0.57,0.62,3.01
261,Game_261,PSP,2012,Fighting,Ubisoft,0.64,0.32,0.24,1.61,2.8
262,Game_262,X360,1998,Misc,Nintendo,1.17,0.38,0.23,0.2,1.98
263,Game_263,PSP,2013,Fighting,Ubisoft,0.01,0.01,0.0,0.01,0.04
264,Game_264,Wii,2010,Simulation,THQ,2.22,1.91,1.25,0.84,6.21
265,Game_265,DS,2009,Adventure,Konami Digital Entertainment,1.52,1.31,0.69,1.92,5.43
266,Game_266,PS4,2016,Fighting,Electronic Arts,0.07,0.04,0.02,0.13,0.25
267,Game_267,GBA,2014,Action,Electronic Arts,3.89,1.78,1.21,0.64,7.52
268,Game_268,PS3,1997,Action,Capcom,0.01,0.02,0.01,0.01,0.05
269,Game_269,PS3,2010,Shooter,THQ,0.23,0.17,0.07,0.1,0.57
270,Game_270,PS2,1988,Misc,Konami Digital Entertainment,0.49,0.34,0.36,0.66,1.84
271,Game_271,XOne,2006,Simulation,Konami Digital Entertainment,0.11,0.13,0.06,0.08,0.38
272,Game_272,PS2,2011,Sports,Sega,0.78,0.61,0.28,1.61,3.28
273,Game_273,X360,2002,Platform,THQ,2.76,2.3,1.89,0.88,7.83
274,Game_274,3DS,1996,Simulation,Nintendo,1.21,1.02,0.29,1.0,3.52
275,Game_275,PS4,2000,Simulation,Activision,1.76,0.61,0.74,0.29,3.41
276,Game_276,PS3,2015,Simulation,Sony Computer Entertainment,0.12,0.07,0.03,0.24,0.46
277,Game_277,DS,2014,Role-Playing,Sony Computer Entertainment,0.9,0.95,0.36,0.53,2.75
278,Game_278,PS3,1992,Role-Playing,Sony Computer Entertainment,0.43,0.19,0.04,0.07,0.73
279,Game_279,X360,2010,Action,Ubisoft,0.91,1.11,0.25,1.66,3.93
280,Game_280,Wii,2014,Platform,Activision,0.66,0.78,0.67,0.59,2.69
281,Game_281,PS4,2015,Racing,Nintendo,3.86,1.66,2.12,3.91,11.54
282,Game_282,PS2,2013,Racing,Namco Bandai Games,0.41,0.3,0.2,0.69,1.59
283,Game_283,PS4,2011,Misc,Sony Computer Entertainment,2.92,0.89,0.15,1.48,5.44
284,Game_284,PS3,2011,Sports,Namco Bandai Games,1.98,0.49,0.25,1.45,4.17
285,Game_285,PS2,2014,Simulation,THQ,2.91,1.39,0.55,1.24,6.09
286,Game_286,X360,1996,Fighting,Konami Digital Entertainment,0.08,0.06,0.05,0.03,0.22
287,Game_287,PS4,1997,Shooter,Activision,1.2,0.85,0.66,3.28,5.98
288,Game_288,Wii,2002,Racing,Nintendo,0.7,0.56,0.57,0.94,2.77
289,Game_289,PS2,2005,Fighting,Nintendo,0.85,0.85,0.24,0.78,2.71
290,Game_290,3DS,2015,Shooter,Sega,1.17,0.76,0.36,0.04,2.19
291,Game_291,GBA,2007,Fighting,Namco Bandai Games,0.68,0.46,0.07,1.65,2.86
292,Game_292,PS4,2005,Racing,Namco Bandai Games,7.55,7.34,4.1,6.99,25.98
293,Game_293,XOne,1989,Sports,Sega,0.16,0.07,0.04,0.01,0.27
294,Game_294,X360,2013,Sports,Konami Digital Entertainment,0.1,0.03,0.05,0.06,0.24
295,Game_295,PS2,2008,Racing,Sega,1.3,0.78,0.37,0.05,2.45
296,Game_296,XOne,2006,Platform,Sega,1.45,0.61,0.26,2.0,4.32
297,Game_297,PSP,2016,Role-Playing,Sega,0.15,0.05,0.04,0.13,0.36
298,Game_298,PSP,2005,Sports,Nintendo,2.35,1.53,0.73,0.73,5.34
299,Game_299,PSP,2009,Platform,Sega,1.63,1.2,0.68,2.01,5.53
300,Game_300,X360,2005,Simulation,Namco Bandai Games,0.85,0.49,0.35,0.55,2.25
301,Game_301,PS2,2006,Action,Nintendo,3.6,1.91,0.73,2.14,8.39
302,Game_302,PS4,2015,Simulation,Konami Digital Entertainment,0.22,0.21,0.1,0.17,0.69
303,Game_303,GBA,2014,Fighting,THQ,17.05,3.79,2.38,5.33,28.55
304,Game_304,X360,2003,Simulation,Nintendo,0.71,0.25,0.26,0.29,1.51
